Location_Code,State_Code,Source_State,Source_Location,UI_Display_Value,Location_Type,Is_Active
LOC_KA_MYSORE_MANGALORE_UDUPI_SHIMOGA,ST_KA,KARNATAKA,"Mysore,Mangalore,Udupi,Shimoga","Mysore,Mangalore,Udupi,Shimoga",GROUPED_LOCATIONS,Y
LOC_KA_ROKA,ST_KA,KARNATAKA,ROKA,ROKA,REST_OF_STATE,Y
LOC_KL_CALICUT,ST_KL,KERALA,CALICUT,CALICUT,NAMED_LOCATION,Y
LOC_KL_ROKERALA,ST_KL,KERALA,ROKERALA,ROKERALA,REST_OF_STATE,Y
LOC_MANIPUR,ST_MANIPUR,MANIPUR,MANIPUR,MANIPUR,STATE_SAME_AS_LOCATION,Y
LOC_MEGHALAYA,ST_MEGHALAYA,MEGHALAYA,MEGHALAYA,MEGHALAYA,STATE_SAME_AS_LOCATION,Y
LOC_MH_MUMBAI,ST_MH,MAHARASHTRA,MUMBAI,MUMBAI,NAMED_LOCATION,Y
LOC_MH_NAGPUR,ST_MH,MAHARASHTRA,NAGPUR,NAGPUR,NAMED_LOCATION,Y
LOC_MH_PUNE,ST_MH,MAHARASHTRA,PUNE,PUNE,NAMED_LOCATION,Y
LOC_MH_ROMH,ST_MH,MAHARASHTRA,ROMH,ROMH,REST_OF_STATE,Y
LOC_MIZROM,ST_MIZROM,MIZROM,MIZROM,MIZROM,STATE_SAME_AS_LOCATION,Y
LOC_MP_INDORE,ST_MP,MADHYA PRADESH,INDORE,INDORE,NAMED_LOCATION,Y
LOC_MP_ROMP,ST_MP,MADHYA PRADESH,ROMP,ROMP,REST_OF_STATE,Y
LOC_NAGALAND,ST_NAGALAND,NAGALAND,NAGALAND,NAGALAND,STATE_SAME_AS_LOCATION,Y
LOC_OD_BHUBANESHWAR,ST_OD,ODISHA,BHUBANESHWAR,BHUBANESHWAR,NAMED_LOCATION,Y
LOC_OD_ROOD,ST_OD,ODISHA,ROOD,ROOD,REST_OF_STATE,Y
LOC_PB_LUDHIANA,ST_PB,PUNJAB,LUDHIANA,LUDHIANA,NAMED_LOCATION,Y
LOC_PB_ROPB,ST_PB,PUNJAB,ROPB,ROPB,REST_OF_STATE,Y
LOC_RJ_JAIPUR,ST_RJ,RAJASTHAN,JAIPUR,JAIPUR,NAMED_LOCATION,Y
LOC_RJ_RORJ,ST_RJ,RAJASTHAN,RORJ,RORJ,REST_OF_STATE,Y
LOC_SIKKIM,ST_SIKKIM,SIKKIM,SIKKIM,SIKKIM,STATE_SAME_AS_LOCATION,Y
LOC_TN_CHENNAI,ST_TN,TAMIL NADU,CHENNAI,CHENNAI,NAMED_LOCATION,Y
LOC_TN_COIMBATORE,ST_TN,TAMIL NADU,COIMBATORE,COIMBATORE,NAMED_LOCATION,Y
LOC_TN_ROTN,ST_TN,TAMIL NADU,ROTN,ROTN,REST_OF_STATE,Y
LOC_TRIPURA,ST_TRIPURA,TRIPURA,TRIPURA,TRIPURA,STATE_SAME_AS_LOCATION,Y
LOC_TS_HYDRABAD,ST_TS,TELENGANA,HYDRABAD,HYDRABAD,NAMED_LOCATION,Y
LOC_TS_ROTS,ST_TS,TELENGANA,ROTS,ROTS,REST_OF_STATE,Y
LOC_UK_ALL,ST_UK,UTTARKHAND,ALL,ALL,ALL_STATE,Y
LOC_UP_LUCKNOW,ST_UP,UTTAR PRADESH,LUCKNOW,LUCKNOW,NAMED_LOCATION,Y
LOC_UP_ROUP,ST_UP,UTTAR PRADESH,ROUP,ROUP,REST_OF_STATE,Y
LOC_WB_KOLKATTA,ST_WB,WESTBENGAL,KOLKATTA,KOLKATTA,NAMED_LOCATION,Y
LOC_WB_ROWB,ST_WB,WESTBENGAL,ROWB,ROWB,REST_OF_STATE,Y
