Source_File,Source_Sheet,Source_Row,Recon_Code,ZONE,Source_State,Source_Location,Source_Product,Source_SubProduct,Source_Business_Type,Source_SubLine,Insurer_Name,Source_Rate_Field,Rate_Type,Rate_Value,Effective_From,Product_Code,SubProduct_Code,BusinessType_Code,UI_Business_Type,Rule_Business_Variant,SubLine_Code,State_Code,Location_Code
July-26.xlsx,Sheet1,24,AP1GC242P,SOUTH,ANDHARA PRADESH,VIJAYAWADA,GCV,4W - UPTO 2500 GVW,RO/RN,PKG,CHOLA,INFLOW,INFLOW,"47.00%{NT(W/O CPA -2% Less - TATA/Maruti/MahindraAce, Super Ace, Yodha, Xenon, Magic, Intra, Super Carry, Mahindra Jeeto,Tractor ,Supro),29.50%{NT(W/O CPA -2% Less)",01-07-2026,PROD_GCV,SP_GCV_4W_UPTO_2500_GVW,BT_RO_RN,Renewal / Rollover,RO/RN,SL_PKG,ST_AP,LOC_AP_VIJAYAWADA
July-26.xlsx,Sheet1,25,AP1GC252P,SOUTH,ANDHARA PRADESH,VIJAYAWADA,GCV,4W - 2500 TO 3500 GVW,RO/RN,PKG,CHOLA,INFLOW,INFLOW,"47.00%{NT(W/O CPA -2% Less - TATA/Maruti/MahindraAce, Super Ace, Yodha, Xenon, Magic, Intra, Super Carry, Mahindra Jeeto,Tractor ,Supro),29.50%{NT(W/O CPA -2% Less)",01-07-2026,PROD_GCV,SP_GCV_4W_2500_TO_3500_GVW,BT_RO_RN,Renewal / Rollover,RO/RN,SL_PKG,ST_AP,LOC_AP_VIJAYAWADA
July-26.xlsx,Sheet1,26,AP1GC252T,SOUTH,ANDHARA PRADESH,VIJAYAWADA,GCV,4W - 2500 TO 3500 GVW,RO/RN,TP,CHOLA,INFLOW,INFLOW,"42.00%{NT(W/O CPA -2% Less - TATA/Maruti/MahindraAce, Super Ace, Yodha, Xenon, Magic, Intra, Super Carry, Mahindra Jeeto,Tractor ,Supro),19.50%{NT(W/O CPA -2% Less)",01-07-2026,PROD_GCV,SP_GCV_4W_2500_TO_3500_GVW,BT_RO_RN,Renewal / Rollover,RO/RN,SL_TP,ST_AP,LOC_AP_VIJAYAWADA
July-26.xlsx,Sheet1,27,AP12W121P,SOUTH,ANDHARA PRADESH,VIJAYAWADA,2W,SCOOTER,NEW(1+5),PKG,CHOLA,INFLOW,INFLOW,"40.00%{NT(W/O CPA -2% Less - SUZUKI),39.50%{NT(W/O CPA -2% Less - Others),38.50%{NT(W/O CPA -2% Less - Hero),37.00%{NT(W/O CPA -2% Less - TVS),36.00%{NT(W/O CPA -2% Less - Yamaha),34.50%{NT(W/O CPA -2% Less - Honda),30.50%{NT(W/O CPA -2% Less - Bajaj)",01-07-2026,PROD_2W,SP_2W_SCOOTER,BT_NEW,New,NEW(1+5),SL_PKG,ST_AP,LOC_AP_VIJAYAWADA
July-26.xlsx,Sheet1,28,AP12W122P,SOUTH,ANDHARA PRADESH,VIJAYAWADA,2W,SCOOTER,RO/RN,PKG,CHOLA,INFLOW,INFLOW,"40.00%{NT(W/O CPA -2% Less - Hero),40.00%{NT(W/O CPA -2% Less - TVS),40.00%{NT(W/O CPA -2% Less - SUZUKI),40.00%{NT(W/O CPA -2% Less - Yamaha),37.50%{NT(W/O CPA -2% Less - Honda),37.50%{NT(W/O CPA -2% Less - Bajaj),37.50%{NT(W/O CPA -2% Less - Others)",01-07-2026,PROD_2W,SP_2W_SCOOTER,BT_RO_RN,Renewal / Rollover,RO/RN,SL_PKG,ST_AP,LOC_AP_VIJAYAWADA
July-26.xlsx,Sheet1,29,AP12W122T,SOUTH,ANDHARA PRADESH,VIJAYAWADA,2W,SCOOTER,RO/RN,TP,CHOLA,INFLOW,INFLOW,"30.00%{NT(W/O CPA -2% Less - Hero),30.00%{NT(W/O CPA -2% Less - TVS),30.00%{NT(W/O CPA -2% Less - SUZUKI),30.00%{NT(W/O CPA -2% Less - Yamaha),27.50%{NT(W/O CPA -2% Less - Honda),27.50%{NT(W/O CPA -2% Less - Bajaj),27.50%{NT(W/O CPA -2% Less - Others)",01-07-2026,PROD_2W,SP_2W_SCOOTER,BT_RO_RN,Renewal / Rollover,RO/RN,SL_TP,ST_AP,LOC_AP_VIJAYAWADA
July-26.xlsx,Sheet1,30,AP1PR142P,SOUTH,ANDHARA PRADESH,VIJAYAWADA,PRIVATE CAR,PRIVATE CAR,RO/RN,PKG,CHOLA,INFLOW,INFLOW,"30.00%{OD(W/O CPA -2% Less - Above 1500CC),27.50%{OD(W/O CPA -2% Less - Upto 1000CC),27.50%{OD(W/O CPA -2% Less - Above 1000CC to 1500CC)",01-07-2026,PROD_PC,SP_PC_CAR,BT_RO_RN,Renewal / Rollover,RO/RN,SL_PKG,ST_AP,LOC_AP_VIJAYAWADA
July-26.xlsx,Sheet1,31,AP1MI322P,SOUTH,ANDHARA PRADESH,VIJAYAWADA,MISC-D,AGRICULTURE TRACTOR,RO/RN,PKG,CHOLA,INFLOW,INFLOW,45.00%{NT(W/O CPA -2% Less),01-07-2026,PROD_MISC,SP_MISC_TRACTOR_AGRI,BT_RO_RN,Renewal / Rollover,RO/RN,SL_PKG,ST_AP,LOC_AP_VIJAYAWADA
July-26.xlsx,Sheet1,32,AP1MI322T,SOUTH,ANDHARA PRADESH,VIJAYAWADA,MISC-D,AGRICULTURE TRACTOR,RO/RN,TP,CHOLA,INFLOW,INFLOW,20.00%{NT(W/O CPA -2% Less),01-07-2026,PROD_MISC,SP_MISC_TRACTOR_AGRI,BT_RO_RN,Renewal / Rollover,RO/RN,SL_TP,ST_AP,LOC_AP_VIJAYAWADA
July-26.xlsx,Sheet1,33,AP12W101P,SOUTH,ANDHARA PRADESH,VIJAYAWADA,2W,BIKE,NEW(1+5),PKG,CHOLA,INFLOW,INFLOW,"40.00%{NT(W/O CPA -2% Less - SUZUKI - Upto 150cc),40.00%{NT(W/O CPA -2% Less - SUZUKI - >150cc-350cc),38.50%{NT(W/O CPA -2% Less - Hero - Upto 150cc),38.50%{NT(W/O CPA -2% Less - Hero - >150cc-350cc),31.00%{NT(W/O CPA -2% Less - Yamaha - Upto 150cc),31.00%{NT(W/O CPA -2% Less - Yamaha - >150cc-350cc),27.00%{NT(W/O CPA -2% Less - TVS - Upto 150cc),27.00%{NT(W/O CPA -2% Less - TVS - >150cc-350cc),17.00%{NT(W/O CPA -2% Less - Honda - Upto 150cc)",01-07-2026,PROD_2W,SP_2W_BIKE,BT_NEW,New,NEW(1+5),SL_PKG,ST_AP,LOC_AP_VIJAYAWADA
