Rule_ID,Recon_Code,ZONE,STATE,LOCATION,PRODUCT,SUB_PRODUCT,BUSINESS_TYPE,SUB_LINE,INSURER_NAME,INFLOW
RAW_000042,AP2GC272P,SOUTH,ANDHARA PRADESH,VIZAG,GCV,4W - 7500 TO 12000 GVW,RO/RN,PKG,CHOLA,22.00%{NT(W/O CPA -2% Less)
RAW_000043,AP2GC272T,SOUTH,ANDHARA PRADESH,VIZAG,GCV,4W - 7500 TO 12000 GVW,RO/RN,TP,CHOLA,9.50%{NT(W/O CPA -2% Less)
RAW_000044,AP2GC302P,SOUTH,ANDHARA PRADESH,VIZAG,GCV,4W - ABOVE 40000 GVW,RO/RN,PKG,CHOLA,"24.50%{NT(W/O CPA -2% Less - Above 43K to 47.5K Ton),22.00%{NT(W/O CPA -2% Less - Upto 43K Ton),19.50%{NT(W/O CPA -2% Less - Above 47.5K to 56K Ton)"
RAW_000045,AP2GC302T,SOUTH,ANDHARA PRADESH,VIZAG,GCV,4W - ABOVE 40000 GVW,RO/RN,TP,CHOLA,"24.50%{NT(W/O CPA -2% Less - Upto 43K Ton),19.50%{NT(W/O CPA -2% Less - Above 43K to 47.5K Ton),14.50%{NT(W/O CPA -2% Less - Above 47.5K to 56K Ton)"
RAW_000046,AP2GC222P,SOUTH,ANDHARA PRADESH,VIZAG,GCV,GCV 3W,RO/RN,PKG,CHOLA,37.00%{NT(W/O CPA -2% Less)
RAW_000047,AP2GC222T,SOUTH,ANDHARA PRADESH,VIZAG,GCV,GCV 3W,RO/RN,TP,CHOLA,32.00%{NT(W/O CPA -2% Less)
RAW_000048,AP2MI332P,SOUTH,ANDHARA PRADESH,VIZAG,MISC-D,MISC D,RO/RN,PKG,CHOLA,"35.00%{NT(W/O CPA -2% Less - HARVESTOR),30.00%{NT(W/O CPA -2% Less - Loader, Excavators/Earth Movers, Crane, Bulldozers/Bullgraders, Road Rollers, Fork Lift Trucks)"
RAW_000049,AP2MI332T,SOUTH,ANDHARA PRADESH,VIZAG,MISC-D,MISC D,RO/RN,TP,CHOLA,"30.00%{NT(W/O CPA -2% Less - Loader, Excavators/Earth Movers, Crane, Bulldozers/Bullgraders, Road Rollers, Fork Lift Trucks)"
RAW_000050,AP2PC152P,SOUTH,ANDHARA PRADESH,VIZAG,PCV,PCV 3W,RO/RN,PKG,CHOLA,17.50%{NT(W/O CPA -2% Less)
RAW_000051,AP2PC152T,SOUTH,ANDHARA PRADESH,VIZAG,PCV,PCV 3W,RO/RN,TP,CHOLA,12.50%{NT(W/O CPA -2% Less)
